,Location,Title,Price,Company,Summary,Salary_category
0,"Orlando, FL 32801 (Central Business District area)",Data Scientist (Database Administrator),95160,"Orange County Government, Florida"," Posting Closes: October 30, 2019 (posting subject to close without prior notification).Prefer candidates with hands on experience with data analytics and…",HighMid
1,"Sanford, FL",RESEARCH STATISTICIAN,49784,Seminole County Sheriff's Office,This position performs professional work applying analytics to statistical analysis. Statistical areas of focus include applying modeling and analytic skills to…,Low
2,"Davie, FL","District Director, Research and Data Science",81535,Broward College," Expertise in Predictive Modeling, Applied Machine Learning/Python Programming, Artificial Intelligence, Big Data Analytics, Data Warehouse technologies would be…",LowMid
3,"Tampa, FL",Python Architect / Data Scientist,130000,Aceolution Inc,Aceolution is placing the candidate for a top MNC company. The candidate will be directly working for the client company and will have all the benefits.,High
4,"Columbia, SC 29223",Statistician III,40759,State of South Carolina, Performs detailed statistical analysis and research on traffic records data using Statistical Analysis Software (SAS) and other software.,Low
5,"Columbia, SC 29208",Geospatial Data Scientist,55000,University of South Carolina,"Master’s degree in public health, health services research, science, engineering, geography or related field with coursework and/or work experience with GIS…",Low
6,"Aiken County, SC",Statistician III (3IER19),40759,State of South Carolina,"Applying appropriate statistical analysis for use in data mining, forecasting, assessment, and/or predictive analytics as appropriate for each assigned project.",Low
7,"Columbia, SC 29208",Geospatial Data Scientist,55000,University of South Carolina,"With more than 20 years of uninterrupted funding from grants, contracts, and foundations, our integrated health and policy research is at the forefront of…",Low
8,"Columbia, SC 29208",Geospatial Data Scientist,55000,University of South Carolina," With more than 20 years of uninterrupted funding from grants, contracts, and foundations, our integrated health and policy research is at the forefront of…",Low
9,"Columbia, SC 29208",Geospatial Data Scientist,55000,University of South Carolina," Master’s degree in public health, health services research, science, engineering, geography or related field with coursework and/or work experience with GIS…",Low
10,"Aiken County, SC",Statistician III (3IER19),40759,State of South Carolina," Applying appropriate statistical analysis for use in data mining, forecasting, assessment, and/or predictive analytics as appropriate for each assigned project.",Low
11,"Columbia, SC 29223",Statistician III,40759,State of South Carolina," A bachelor's degree in mathematics or statistics, and relevant program experience.Performs detailed statistical analysis and research on traffic records data…",Low
