,Location,Title,Price,Company,Summary
0,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
We are looking to add a data scientist with experience in data analysis and statistical modelling to the team. Analyse raw and messy data."
3,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
5,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
7,London,Data Scientist,"
£31,361 - £34,845 a year","

UK Government - National Crime Agency","
Develop innovative solutions to data challenges through the effective use of software tools and the exploitation of data to extract maximum intelligence value."
9,London NW9,919-AP-11862797-EXT - Assistant Healthcare Scientist,"
£21,960 - £24,694 a year","

Public Health England","
Data from clinical vaccine trials help to generate information regarding formulation and delivery of influenza vaccines, while seroepidemiology tracks incidence…"
12,United Kingdom,Data and Technology Graduate Scheme 2020,"
£27,500 a year","
EDF Energy Limited","
Ingesting data, preparing data, wrangling data, building data engineering pipelines and creating and visualising data assets using industry leading technologies…"
16,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
Data Scientist | Birmingham | £50,000 - £60,000. An opportunity for a Data Scientist in Birmingham for £50,000- £60,000 to join a very prestigious digital…"
17,United Kingdom,Water Quality Distribution Scientist,"
£35,000 a year","

South East Water","
Scientist with a degree in a relevant science. Excellent analytical and interpretation skills relating to data analysis and investigations."
18,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
We are seeking to expand our talented and dynamic team of data scientists. We are seeking to appoint data scientists / machine learning engineers as full-time…"
0,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
 We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
 We are looking to add a data scientist with experience in data analysis and statistical modelling to the team.Analyse raw and messy data."
3,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
 Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team.AWS, Azure or GCP experience."
4,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
 Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
5,Birmingham,Data Scientist,"
£35,000 - £45,000 a year","
Technical Team Solutions","
 Data Scientist - Python/Machine Learning/Time Series.Data Scientist - Python/Machine Learning/Time Series.Ideally 2 years + experience within a similar Data…"
11,London,Data Scientist,"
£40,000 - £55,000 a year","
Chaser Technologies Limited","
 As our first data scientist, you’ll be instrumental in harnessing data to help drive towards this goal.We’re looking for an inquisitive Data Scientist who is…"
18,Manchester,Senior Data Scientist,"
£60,000 - £75,000 a year","

Opus Recruitment Solutions","
 There is a fantastic opportunity for a Senior Data Scientist in the Manchester area working for a fabulous company which have had millions investment to enable…"
0,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
We are looking to add a data scientist with experience in data analysis and statistical modelling to the team. Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
This is an exciting role for a smart, creative person to take point on research and development of sophisticated, cutting-edge platform for machine learning on…"
4,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
5,United Kingdom,Water Quality Distribution Scientist,"
£35,000 a year","

South East Water","
Excellent analytical and interpretation skills relating to data analysis and investigations. Design and plan South East Waters, annual, sequential flushing…"
7,London,Assistant Healthcare Scientist,"
£21,960 - £24,694 a year","

Public Health England","
Public Health England (PHE) is an executive agency of the Department of Health and Social Care providing; Strategic leadership, research, advice and support for…"
8,London,Data Scientist,"
£40,000 - £55,000 a year","

Virgin Media","
Advanced data preparation and munging skills with ability to transform data into suitable formats and outputs. £40,000 - £55,000 per annum + excellent benefits."
18,Birmingham,Data Scientist,"
£35,000 - £45,000 a year","
Technical Team Solutions","
You'll join a growing team of data scientists, working to deliver analytics and algorithms that help their customers look at their products & services…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
We are looking to add a data scientist with experience in data analysis and statistical modelling to the team. Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
This is an exciting role for a smart, creative person to take point on research and development of sophisticated, cutting-edge platform for machine learning on…"
3,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team. E.g. regression, k-means, etc."
5,Birmingham,Data Scientist,"
£35,000 - £45,000 a year","
Technical Team Solutions","
You'll join a growing team of data scientists, working to deliver analytics and algorithms that help their customers look at their products & services…"
7,London SE1,Data Science Graduate,"
£24,000 a year","

NHS Digital","
Our work-based graduate scheme is designed to increase your experience of analysis, statistics, data management and data science."
11,London,Senior Data Scientist,"
£46,250 - £69,700 a year","

Ofgem","
You will advise the design of data pipelines, partake in data exploration and work to automate analytical methods. Up to 30 days’ annual leave."
12,London,CMA1201 Head of Data and Techology Insight,"
£68,936 - £77,300 a year","

UK Government - Competition & Markets Authority","
You will lead your team to work hand in hand with our data science and data engineering teams to shape analytical projects that directly benefit consumers."
17,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
18,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
We are seeking to expand our talented and dynamic team of data scientists. We are seeking to appoint data scientists / machine learning engineers as full-time…"
0,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
We are looking to add a data scientist with experience in data analysis and statistical modelling to the team. Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
4,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team. AWS, Azure or GCP experience."
5,Hampshire,Data Scientist (m/w/d),"
£60,000 - £70,000 a year","
Millennium Consulting","
Millennium Consulting are looking for an experienced Data Scientist for our global online retail client based on the South Coast."
6,East Kilbride,B1 MI Data Scientist,"
£32,929 a year","

UK Government - Department for International Devel...","
Working in a Data Science or Digital team according to Agile methodology. Extensive experience of using Excel to perform fundamental analyses and data…"
7,London,Data Scientist,"
£50,000 a year","
Zarathustra Technologies Ltd.","
Data Scientist role in Milan. We are looking for an excellent Data Scientist to join us in the fantastic, sunny, and competitive Milan as we develop some of…"
18,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
0,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
 We are looking to add a data scientist with experience in data analysis and statistical modelling to the team.Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
 We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
4,London,Data Scientist,"
£50,000 a year","
Zarathustra Technologies Ltd.","
 Data Scientist role in Milan.We are looking for an excellent Data Scientist to join us in the fantastic, sunny, and competitive Milan as we develop some of…"
9,London,Junior Data Scientist,"
£60,000 - £65,000 a year","
Harnham","
 As a Data Scientist you will be:As a team of 15 Machine Learning Data Scientists, you will sit at the heart of the organisation with one clear goal:"
13,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
 We are seeking to expand our talented and dynamic team of data scientists.We are seeking to appoint data scientists / machine learning engineers as full-time…"
14,Birmingham,Data Scientist,"
£35,000 - £45,000 a year","
Technical Team Solutions","
 Data Scientist - Python/Machine Learning/Time Series.Data Scientist - Python/Machine Learning/Time Series.Ideally 2 years + experience within a similar Data…"
15,Manchester,Senior Data Scientist,"
£60,000 - £75,000 a year","

Opus Recruitment Solutions","
 There is a fantastic opportunity for a Senior Data Scientist in the Manchester area working for a fabulous company which have had millions investment to enable…"
16,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
 Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team.AWS, Azure or GCP experience."
17,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
 Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
0,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
We are looking to add a data scientist with experience in data analysis and statistical modelling to the team. Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
7,London,Junior Data Scientist,"
£60,000 - £65,000 a year","
Harnham","
As a Data Scientist you will be: As a team of 15 Machine Learning Data Scientists, you will sit at the heart of the organisation with one clear goal:"
9,London,"G2 Senior Data Scientist, Data Science","
£54,380 a year","

UK Government - National Crime Agency","
Experience managing teams to deliver data solutions and solve operational data problems. Deep knowledge of a number of data science specialisms, with experience…"
12,London,"CMA1040 Data Science, Lead Data Scientist","
£68,936 - £77,300 a year","

UK Government - Competition & Markets Authority","
To learn more about out Data Science Unit, please watch this video: You will lead data scientists to apply these techniques at the CMA, e.g. using natural…"
14,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
We are seeking to expand our talented and dynamic team of data scientists. We are seeking to appoint data scientists / machine learning engineers as full-time…"
15,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
16,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
Data Scientist | Birmingham | £50,000 - £60,000. An opportunity for a Data Scientist in Birmingham for £50,000- £60,000 to join a very prestigious digital…"
17,Hampshire,Data Scientist (m/w/d),"
£60,000 - £70,000 a year","
Millennium Consulting","
Millennium Consulting are looking for an experienced Data Scientist for our global online retail client based on the South Coast."
18,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team. AWS, Azure or GCP experience."
0,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
 We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
 We are looking to add a data scientist with experience in data analysis and statistical modelling to the team.Analyse raw and messy data."
2,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
 Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
3,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
 Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team.AWS, Azure or GCP experience."
17,Birmingham,Data Scientist,"
£35,000 - £45,000 a year","
Technical Team Solutions","
 Data Scientist - Python/Machine Learning/Time Series.Data Scientist - Python/Machine Learning/Time Series.Ideally 2 years + experience within a similar Data…"
0,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
 We are looking to add a data scientist with experience in data analysis and statistical modelling to the team.Analyse raw and messy data."
2,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
 We are seeking to expand our talented and dynamic team of data scientists.We are seeking to appoint data scientists / machine learning engineers as full-time…"
3,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
 We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
9,London,Data Scientist - AI,"
£60,000 - £80,000 a year","
Oho Group","
 Data Scientist - AI and Machine Learning.Data Scientist - AI and Machine Learning.Looking for a Data Scientist with:Data Scientist - AI and Machine Learning."
