,Location,Title,Price,Company,Summary
8,"Orlando, FL 32801 (Central Business District area)",Data Scientist (Database Administrator),"
$85,654 - $104,666 a year","

Orange County Government, Florida","
 Posting Closes: October 30, 2019 (posting subject to close without prior notification).Prefer candidates with hands on experience with data analytics and…"
3,"Sanford, FL",RESEARCH STATISTICIAN,"
$42,827 - $56,742 a year","

Seminole County Sheriff's Office","
This position performs professional work applying analytics to statistical analysis. Statistical areas of focus include applying modeling and analytic skills to…"
9,"Davie, FL","District Director, Research and Data Science","
$70,900 - $92,170 a year","

Broward College","
 Expertise in Predictive Modeling, Applied Machine Learning/Python Programming, Artificial Intelligence, Big Data Analytics, Data Warehouse technologies would be…"
9,"Tampa, FL",Python Architect / Data Scientist,"
$120,000 - $140,000 a year","
Aceolution Inc","
Aceolution is placing the candidate for a top MNC company. The candidate will be directly working for the client company and will have all the benefits."
3,"Port Saint Lucie, FL",R Programmer/Statistician,"
$15 - $20 an hour","
PierTop","
Exploratory Data Analysis Visualization Skills in R (selecting appropriate charts, visually explaining data). Programmer will work alongside our management team…"
7,"Tampa, FL",Full-Stack / AI Software Engineer – Internship,"
$15 - $25 an hour","
COI Energy Services","
Our proprietary cloud-based platform uses artificial intelligence and machine learning techniques to identify, manage, optimize and monetize flexible energy…"
0,"Tampa, FL",Full-Stack / AI Software Engineer – Internship,"
$15 - $25 an hour","
COI Energy Services","
 Our proprietary cloud-based platform uses artificial intelligence and machine learning techniques to identify, manage, optimize and monetize flexible energy…"
0,"Tampa, FL",Full-Stack / AI Software Engineer – Internship,"
$15 - $25 an hour","
COI Energy Services","
Our proprietary cloud-based platform uses artificial intelligence and machine learning techniques to identify, manage, optimize and monetize flexible energy…"
2,"Tampa, FL",Full-Stack / AI Software Engineer – Internship,"
$15 - $25 an hour","
COI Energy Services","
 Our proprietary cloud-based platform uses artificial intelligence and machine learning techniques to identify, manage, optimize and monetize flexible energy…"
0,"Tampa, FL",Full-Stack / AI Software Engineer – Internship,"
$15 - $25 an hour","
COI Energy Services","
Our proprietary cloud-based platform uses artificial intelligence and machine learning techniques to identify, manage, optimize and monetize flexible energy…"
2,"Tampa, FL",Full-Stack / AI Software Engineer – Internship,"
$15 - $25 an hour","
COI Energy Services","
Strong familiarity with all relevant AWS microservices dealing with data organization, parsing, flow, storage, machine learning, and artificial intelligence."
2,"Tampa, FL",Full-Stack / AI Software Engineer – Internship,"
$15 - $25 an hour","
COI Energy Services","
 Our proprietary cloud-based platform uses artificial intelligence and machine learning techniques to identify, manage, optimize and monetize flexible energy…"
2,"Port Saint Lucie, FL",R Programmer/Statistician,"
$15 - $20 an hour","
PierTop","
Exploratory Data Analysis Visualization Skills in R (selecting appropriate charts, visually explaining data). Programmer will work alongside our management team…"
5,"Tampa, FL",Full-Stack / AI Software Engineer – Internship,"
$15 - $25 an hour","
COI Energy Services","
Strong familiarity with all relevant AWS microservices dealing with data organization, parsing, flow, storage, machine learning, and artificial intelligence."
0,"Tampa, FL",Full-Stack / AI Software Engineer – Internship,"
$15 - $25 an hour","
COI Energy Services","
 Our proprietary cloud-based platform uses artificial intelligence and machine learning techniques to identify, manage, optimize and monetize flexible energy…"
0,"Tampa, FL",Full-Stack / AI Software Engineer – Internship,"
$15 - $25 an hour","
COI Energy Services","
Our proprietary cloud-based platform uses artificial intelligence and machine learning techniques to identify, manage, optimize and monetize flexible energy…"
2,"Tampa, FL",Full-Stack / AI Software Engineer – Internship,"
$15 - $25 an hour","
COI Energy Services","
 Strong familiarity with all relevant AWS microservices dealing with data organization, parsing, flow, storage, machine learning, and artificial intelligence."
3,"Port Saint Lucie, FL",R Programmer/Statistician,"
$15 - $20 an hour","
PierTop","
 Exploratory Data Analysis Visualization Skills in R (selecting appropriate charts, visually explaining data).Programmer will work alongside our management team…"
7,"Tampa, FL",Full-Stack / AI Software Engineer – Internship,"
$15 - $25 an hour","
COI Energy Services","
 Our proprietary cloud-based platform uses artificial intelligence and machine learning techniques to identify, manage, optimize and monetize flexible energy…"
2,"Tampa, FL",Full-Stack / AI Software Engineer – Internship,"
$15 - $25 an hour","
COI Energy Services","
 Our proprietary cloud-based platform uses artificial intelligence and machine learning techniques to identify, manage, optimize and monetize flexible energy…"
2,"Tampa, FL",Full-Stack / AI Software Engineer – Internship,"
$15 - $25 an hour","
COI Energy Services","
Our proprietary cloud-based platform uses artificial intelligence and machine learning techniques to identify, manage, optimize and monetize flexible energy…"
2,"Tampa, FL",Full-Stack / AI Software Engineer – Internship,"
$15 - $25 an hour","
COI Energy Services","
 Strong familiarity with all relevant AWS microservices dealing with data organization, parsing, flow, storage, machine learning, and artificial intelligence."
2,"Tampa, FL",Full-Stack / AI Software Engineer – Internship,"
$15 - $25 an hour","
COI Energy Services","
Our proprietary cloud-based platform uses artificial intelligence and machine learning techniques to identify, manage, optimize and monetize flexible energy…"
2,"Tampa, FL",Full-Stack / AI Software Engineer – Internship,"
$15 - $25 an hour","
COI Energy Services","
Strong familiarity with all relevant AWS microservices dealing with data organization, parsing, flow, storage, machine learning, and artificial intelligence."
